date,cash
2026-03-26,100000.00
2026-03-26,100000.00
2026-03-26,100000.00
2026-03-26,100000.00
2026-03-27,100000.00
2026-03-27,100000.00
2026-03-30,100000.00
2026-03-30,100000.00
2026-03-31,100000.00
2026-03-31,100000.00
2026-03-31,100000.00
2026-03-31,100000.00
2026-03-31,83937.13
2026-04-06,83937.13
2026-04-07,83937.13
2026-04-08,83937.13
2026-04-09,83937.13
2026-04-10,83937.13
2026-04-13,83937.13
2026-04-14,83937.13
2026-04-15,83937.13
2026-04-16,83937.13
2026-04-16,83937.13
2026-04-15,83937.13
2026-04-16,83937.13
2026-04-16,67956.37
