date,sleeve,cash,market_value,nav
2026-03-26,CASH,100000.00,0.00,100000.00
2026-03-27,CASH,100000.00,0.00,100000.00
2026-03-30,CASH,100000.00,0.00,100000.00
2026-03-31,CASH,100000.00,0.00,100000.00
2026-04-06,CASH,100000.00,0.00,100000.00
2026-04-07,CASH,100000.00,0.00,100000.00
2026-04-08,CASH,100000.00,0.00,100000.00
2026-04-09,CASH,100000.00,0.00,100000.00
2026-04-10,CASH,100000.00,0.00,100000.00
2026-04-13,CASH,100000.00,0.00,100000.00
2026-04-14,CASH,100000.00,0.00,100000.00
2026-04-15,CASH,100000.00,0.00,100000.00
2026-04-16,CASH,100000.00,0.00,100000.00
2026-04-17,AI23,-8161.32,8455.57,294.25
2026-04-17,CASH,100000.00,0.00,100000.00
2026-04-17,QC,-7819.44,8657.48,838.04
2026-04-17,AI23,-16110.50,16137.98,27.47
2026-04-17,CASH,100000.00,0.00,100000.00
2026-04-17,QC,-15933.12,17441.86,1508.74
2026-04-17,AI23,-16110.50,16137.98,27.47
2026-04-17,CASH,100000.00,0.00,100000.00
2026-04-17,QC,-15933.12,17441.86,1508.74
2026-04-17,AI23,-16110.50,15893.82,-216.68
2026-04-17,CASH,100000.00,0.00,100000.00
2026-04-17,QC,-15933.12,17779.79,1846.67
2026-04-22,AI23,-24826.15,25023.71,197.56
2026-04-22,CASH,100000.00,0.00,100000.00
2026-04-22,QC,-22623.99,24539.95,1915.96
